"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Escenario: Botón 'Añadir al carrito' habilitado para producto con stock
    Esperado:  El botón es visible y está habilitado; el selector de cantidad + está activo
    Impacto:   Si falla, el usuario no puede agregar al carrito un producto que sí tiene stock
    Accion:    Verificar que la propiedad 'is_location_allowed' / 'in_stock' de la API es true y el botón refleja ese estado
    ","0","test_tc06a_boton_habilitado_con_stock","tests","Sun May 10 18:12:06 UTC 2026","broken","Sun May 10 18:12:06 UTC 2026","","test_detalle","",""
"
    Escenario: Actualizar cantidad de producto en el carrito
    Esperado:  Al cambiar la cantidad de 1 a 3, el total del carrito refleja la nueva cantidad correctamente
    Impacto:   Si falla, el usuario no puede ajustar cantidades en el carrito y debe eliminar y volver a agregar
    Accion:    Verificar que el input de cantidad dispara el recalculo del total al perder el foco (Tab/blur)
    ","0","test_tc09a_actualizar_cantidad_en_carrito","tests","Sun May 10 18:12:05 UTC 2026","broken","Sun May 10 18:12:05 UTC 2026","","test_carrito","",""
"
    Escenario: Agregar 1 unidad al carrito exitosamente
    Esperado:  Aparece toast de confirmación, el badge del header muestra 1 y POST /carts retorna 200/201
    Impacto:   Si falla, el flujo de compra principal está roto y ningún usuario puede agregar productos
    Accion:    Verificar el endpoint POST /carts y el componente de notificación toast en la UI
    ","0","test_tc07a_agregar_1_unidad_al_carrito","tests","Sun May 10 18:12:04 UTC 2026","broken","Sun May 10 18:12:04 UTC 2026","","test_carrito","",""
"
    Escenario: Búsqueda sin resultados – término inexistente
    Esperado:  Se muestra mensaje de 'sin resultados' y el contador indica 0; la API retorna 'data' vacío
    Impacto:   Si falla, el usuario ve un grid vacío sin feedback claro sobre la ausencia de resultados
    Accion:    Verificar que el componente de resultados muestra el mensaje vacío cuando 'data' es []
    ","0","test_tc02a_busqueda_termino_inexistente","tests","Sun May 10 18:12:03 UTC 2026","broken","Sun May 10 18:12:03 UTC 2026","","test_busqueda","",""
"
    Escenario: Desmarcar una de las dos categorías activas ajusta el filtro parcialmente
    Esperado:  Al desmarcar 'Hand Tools' permaneciendo 'Other' activa, los resultados bajan al total de 'Other'
    Impacto:   Si falla, el usuario no puede ajustar un filtro compuesto de forma granular
    Accion:    Verificar que el evento de desmarcado recalcula la unión de categorías restantes
    ","0","test_tc04b_desmarcar_una_de_multiples_categorias","tests","Sun May 10 18:12:08 UTC 2026","broken","Sun May 10 18:12:08 UTC 2026","","test_filtros","",""
"
    Escenario: Búsqueda case-insensitive
    Esperado:  Buscar 'PLIERS' en mayúsculas retorna los mismos 4 resultados que 'Pliers'
    Impacto:   Si falla, usuarios que escriben en mayúsculas no obtienen resultados correctos
    Accion:    Verificar que el backend normaliza la búsqueda a minúsculas antes de filtrar
    ","0","test_tc01c_busqueda_case_insensitive","tests","Sun May 10 18:12:03 UTC 2026","broken","Sun May 10 18:12:03 UTC 2026","","test_busqueda","",""
"
    Escenario: Carrito persiste al navegar entre páginas
    Esperado:  Después de navegar a otra página, el badge del carrito mantiene el número correcto y GET /carts devuelve el producto
    Impacto:   Si falla, el carrito se pierde al navegar y el usuario tiene que volver a agregar los productos
    Accion:    Verificar que la sesión/token se mantiene entre navegaciones y el estado del carrito se persiste en backend
    ","0","test_tc08a_carrito_persiste_al_navegar","tests","Sun May 10 18:12:04 UTC 2026","broken","Sun May 10 18:12:04 UTC 2026","","test_carrito","",""
"
    Escenario: Búsqueda exitosa por término parcial
    Esperado:  Se muestran productos cuyos nombres contienen 'Pli' y la API retorna los mismos
    Impacto:   Si falla, los usuarios que buscan con términos incompletos no obtienen resultados
    Accion:    Revisar la lógica de búsqueda parcial en backend y el filtrado en frontend
    ","0","test_tc01b_busqueda_termino_parcial","tests","Sun May 10 18:12:02 UTC 2026","broken","Sun May 10 18:12:02 UTC 2026","","test_busqueda","",""
"
    Escenario: Eliminar producto del carrito
    Esperado:  Al hacer clic en el botón X, aparece toast 'PRODUCTO ELIMINADO', el producto desaparece y el badge se actualiza
    Impacto:   Si falla, el usuario no puede quitar productos del carrito y está forzado a completar la compra
    Accion:    Verificar que DELETE /carts/{id}/product/{id} funciona y la UI remueve la fila del producto
    ","0","test_tc10a_eliminar_producto_del_carrito","tests","Sun May 10 18:12:05 UTC 2026","broken","Sun May 10 18:12:05 UTC 2026","","test_carrito","",""
"
    Escenario: Carrito persiste al recargar la página
    Esperado:  Después de recargar con F5, el badge del carrito mantiene el número correcto
    Impacto:   Si falla, el carrito se resetea en cada recarga y el usuario pierde su selección de compra
    Accion:    Verificar que el carrito se carga desde el backend al iniciar la sesión, no solo desde memoria local
    ","0","test_tc08b_carrito_persiste_al_recargar","tests","Sun May 10 18:12:04 UTC 2026","broken","Sun May 10 18:12:04 UTC 2026","","test_carrito","",""
"
    Escenario: Agregar múltiples unidades al carrito
    Esperado:  Al seleccionar cantidad 2 y agregar, el badge del header muestra 2 y el toast confirma la acción
    Impacto:   Si falla, el usuario no puede comprar más de 1 unidad del mismo producto en un solo paso
    Accion:    Verificar que el selector de cantidad + incrementa correctamente y el payload de POST /carts incluye la cantidad
    ","0","test_tc07b_agregar_multiples_unidades","tests","Sun May 10 18:12:04 UTC 2026","broken","Sun May 10 18:12:04 UTC 2026","","test_carrito","",""
